sep=;
Name;Exp.;Bid;Ask;Last;High;Low;Open Interest;Volume;Contract Size;Strike
VOLVB5K14Y228;2025-11-14;40.75;42.75;;;;;;100;228.00
VOLVB5K14Y230;2025-11-14;38.75;40.75;;;;;;100;230.00
VOLVB5K14Y232;2025-11-14;36.75;38.75;;;;;;100;232.00
VOLVB5K14Y234;2025-11-14;34.75;36.75;;;;;;100;234.00
VOLVB5K14Y236;2025-11-14;32.75;34.75;;;;;;100;236.00
VOLVB5K14Y238;2025-11-14;30.75;32.75;;;;;;100;238.00
VOLVB5K14Y240;2025-11-14;28.75;30.75;;;;;;100;240.00
VOLVB5K14Y242;2025-11-14;26.75;28.75;;;;;;100;242.00
VOLVB5K14Y244;2025-11-14;24.75;26.75;;;;;;100;244.00
VOLVB5K14Y246;2025-11-14;22.75;24.75;;;;;;100;246.00
VOLVB5K14Y248;2025-11-14;20.75;22.75;;;;;;100;248.00
VOLVB5K14Y250;2025-11-14;18.75;20.75;;;;;;100;250.00
VOLVB5K14Y252;2025-11-14;16.75;18.75;;;;;;100;252.00
VOLVB5K14Y254;2025-11-14;15.00;17.00;;;;;;100;254.00
VOLVB5K14Y255;2025-11-14;14.00;16.00;;;;;;100;255.00
VOLVB5K14Y256;2025-11-14;13.00;15.00;;;;;;100;256.00
VOLVB5K14Y258;2025-11-14;11.00;13.00;;;;;;100;258.00
VOLVB5K14Y260;2025-11-14;9.00;10.75;2.10;;;5;;100;260.00
VOLVB5K14Y262;2025-11-14;7.40;8.80;1.85;;;1;;100;262.00
VOLVB5K14Y264;2025-11-14;5.80;6.80;1.10;;;1;;100;264.00
VOLVB5K14Y265;2025-11-14;4.95;5.80;2.55;;;90;;100;265.00
VOLVB5K14Y266;2025-11-14;4.25;5.00;2.35;;;5;;100;266.00
VOLVB5K14Y268;2025-11-14;2.85;3.65;1.70;;;30;;100;268.00
VOLVB5K14Y270;2025-11-14;1.70;2.50;0.75;;;300;;100;270.00
VOLVB5K14Y272;2025-11-14;0.90;1.60;;;;;;100;272.00
VOLVB5K14Y274;2025-11-14;0.35;1.05;;;;;;100;274.00
VOLVB5K14Y275;2025-11-14;0.15;0.80;;;;;;100;275.00
VOLVB5K14Y276;2025-11-14;;0.65;;;;;;100;276.00
VOLVB5K14Y278;2025-11-14;;0.55;;;;;;100;278.00
VOLVB5K14Y280;2025-11-14;;0.55;;;;;;100;280.00
VOLVB5K14Y282;2025-11-14;;0.50;;;;;;100;282.00
VOLVB5K14Y284;2025-11-14;;0.80;;;;;;100;284.00
VOLVB5K14Y285;2025-11-14;;0.80;;;;;;100;285.00
VOLVB5K14Y286;2025-11-14;;0.80;;;;;;100;286.00
VOLVB5K14Y288;2025-11-14;;0.80;;;;;;100;288.00
VOLVB5K14Y290;2025-11-14;;0.80;;;;;;100;290.00
VOLVB5K14Y292;2025-11-14;;0.80;;;;;;100;292.00
VOLVB5K14Y295;2025-11-14;;0.80;;;;;;100;295.00
VOLVB5K14Y300;2025-11-14;;0.80;;;;;;100;300.00
VOLVB5K14Y305;2025-11-14;;0.80;;;;;;100;305.00
VOLVB5K14Y310;2025-11-14;;0.80;;;;;;100;310.00
VOLVB5K14Y315;2025-11-14;;0.80;;;;;;100;315.00
VOLVB5K14Y320;2025-11-14;;0.80;;;;;;100;320.00
VOLVB5K220;2025-11-21;49.00;50.75;;;;;;100;220.00
VOLVB5K225;2025-11-21;44.00;45.75;;;;;;100;225.00
VOLVB5K228;2025-11-21;41.00;42.75;;;;;;100;228.00
VOLVB5K230;2025-11-21;39.00;40.75;;;;;;100;230.00
VOLVB5K232;2025-11-21;37.00;38.75;;;;;;100;232.00
VOLVB5K234;2025-11-21;35.00;36.75;;;;;;100;234.00
VOLVB5K235;2025-11-21;34.00;35.75;30.00;;;10;;100;235.00
VOLVB5K236;2025-11-21;33.00;34.75;;;;;;100;236.00
VOLVB5K238;2025-11-21;31.00;32.75;;;;;;100;238.00
VOLVB5K240;2025-11-21;29.00;30.75;18.75;;;5;;100;240.00
VOLVB5K242;2025-11-21;27.00;28.75;;;;;;100;242.00
VOLVB5K244;2025-11-21;25.00;26.75;;;;;;100;244.00
VOLVB5K245;2025-11-21;24.00;25.75;11.00;;;40;;100;245.00
VOLVB5K246;2025-11-21;23.25;25.00;17.00;;;;;100;246.00
VOLVB5K248;2025-11-21;21.25;23.00;;;;;;100;248.00
VOLVB5K250;2025-11-21;19.25;21.00;13.00;;;10;;100;250.00
VOLVB5K252;2025-11-21;17.25;19.00;;;;;;100;252.00
VOLVB5K254;2025-11-21;15.50;17.25;;;;;;100;254.00
VOLVB5K255;2025-11-21;14.50;16.25;13.25;;;230;;100;255.00
VOLVB5K256;2025-11-21;13.50;15.00;;;;;;100;256.00
VOLVB5K258;2025-11-21;11.75;13.25;;;;;;100;258.00
VOLVB5K260;2025-11-21;10.00;11.50;9.70;9.70;9.70;715;5;100;260.00
VOLVB5K262;2025-11-21;8.50;9.80;;;;;;100;262.00
VOLVB5K264;2025-11-21;7.10;8.10;;;;;;100;264.00
VOLVB5K265;2025-11-21;6.40;7.30;4.25;;;"1,388";;100;265.00
VOLVB5K266;2025-11-21;5.80;6.70;;;;;;100;266.00
VOLVB5K268;2025-11-21;4.65;5.30;;;;;;100;268.00
VOLVB5K270;2025-11-21;3.55;3.95;2.80;2.80;2.80;883;15;100;270.00
VOLVB5K272;2025-11-21;2.60;2.95;1.20;;;2;;100;272.00
VOLVB5K274;2025-11-21;1.80;2.45;;;;;;100;274.00
VOLVB5K275;2025-11-21;1.45;2.15;1.10;;;960;;100;275.00
VOLVB5K276;2025-11-21;1.15;1.80;;;;;;100;276.00
VOLVB5K278;2025-11-21;0.70;1.30;;;;;;100;278.00
VOLVB5K280;2025-11-21;0.35;0.95;0.45;;;"1,114";;100;280.00
VOLVB5K282;2025-11-21;0.10;0.70;;;;;;100;282.00
VOLVB5K284;2025-11-21;0.01;0.65;;;;;;100;284.00
VOLVB5K285;2025-11-21;0.01;0.60;0.35;;;269;;100;285.00
VOLVB5K286;2025-11-21;0.01;0.60;;;;;;100;286.00
VOLVB5K288;2025-11-21;0.01;0.60;;;;;;100;288.00
VOLVB5K290;2025-11-21;0.01;0.55;0.35;;;"1,047";;100;290.00
VOLVB5K292;2025-11-21;;0.60;;;;;;100;292.00
VOLVB5K295;2025-11-21;;0.50;0.25;;;767;;100;295.00
VOLVB5K300;2025-11-21;;0.45;0.25;;;"2,101";;100;300.00
VOLVB5K305;2025-11-21;;0.45;1.15;;;190;;100;305.00
VOLVB5K310;2025-11-21;;0.25;0.40;;;"3,652";;100;310.00
VOLVB5K315;2025-11-21;;0.60;;;;;;100;315.00
VOLVB5K320;2025-11-21;;0.45;0.35;;;806;;100;320.00
VOLVB5K325;2025-11-21;;0.60;;;;;;100;325.00
VOLVB5K330;2025-11-21;;0.45;2.40;;;588;;100;330.00
VOLVB5K340;2025-11-21;;0.60;;;;;;100;340.00
VOLVB5K350;2025-11-21;;0.60;;;;;;100;350.00
VOLVB5K360;2025-11-21;;0.60;;;;;;100;360.00
VOLVB5K370;2025-11-21;;0.60;;;;;;100;370.00
VOLVB5K380;2025-11-21;;0.60;;;;;;100;380.00
VOLVB5K28Y234;2025-11-28;35.00;37.00;;;;;;100;234.00
VOLVB5K28Y236;2025-11-28;33.00;35.00;;;;;;100;236.00
VOLVB5K28Y238;2025-11-28;31.00;33.00;;;;;;100;238.00
VOLVB5K28Y240;2025-11-28;29.00;31.00;;;;;;100;240.00
VOLVB5K28Y242;2025-11-28;27.00;29.00;;;;;;100;242.00
VOLVB5K28Y244;2025-11-28;25.25;27.25;;;;;;100;244.00
VOLVB5K28Y246;2025-11-28;23.25;25.25;;;;;;100;246.00
VOLVB5K28Y248;2025-11-28;21.25;23.25;;;;;;100;248.00
VOLVB5K28Y250;2025-11-28;19.50;21.50;;;;;;100;250.00
VOLVB5K28Y255;2025-11-28;15.00;16.75;;;;;;100;255.00
VOLVB5K28Y260;2025-11-28;10.75;12.25;4.60;;;10;;100;260.00
VOLVB5K28Y265;2025-11-28;7.30;8.30;4.65;;;4;;100;265.00
VOLVB5K28Y270;2025-11-28;4.45;5.20;;;;;;100;270.00
